Loading workload 100 _1_0 try 1
220160fff8e1   primary      0.67%     96.33MiB / 7.73GiB   1.22%     15.4MB / 11.4MB   0B / 14.1MB   77
5a054c53aef7   secondary3   0.75%     82.64MiB / 7.73GiB   1.04%     2.98MB / 1.22MB   0B / 17.6MB   73
Loading workload 100 _1_0 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   1.63%     83.77MiB / 7.73GiB   1.06%     3.85MB / 1.45MB   0B / 19.1MB   75
8fef7395547f   secondary2   2.02%     84.52MiB / 7.73GiB   1.07%     3.82MB / 1.47MB   0B / 19.1MB   75
220160fff8e1   primary      2.01%     100.5MiB / 7.73GiB   1.27%     18.4MB / 13.9MB   0B / 18.8MB   75
5a054c53aef7   secondary3   0.82%     84.77MiB / 7.73GiB   1.07%     3.76MB / 1.43MB   0B / 18.8MB   75
Loading workload 100 _50_50 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.88%     83.99MiB / 7.73GiB   1.06%     3.9MB / 1.51MB    0B / 25MB     74
8fef7395547f   secondary2   0.82%     84.79MiB / 7.73GiB   1.07%     3.87MB / 1.53MB   0B / 25MB     74
220160fff8e1   primary      0.65%     101.8MiB / 7.73GiB   1.29%     19.7MB / 14.1MB   0B / 18.9MB   76
5a054c53aef7   secondary3   0.84%     84.91MiB / 7.73GiB   1.07%     3.82MB / 1.5MB    0B / 24.7MB   74
Loading workload 100 _10_90 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   1.92%     84.02MiB / 7.73GiB   1.06%     3.95MB / 1.57MB   0B / 25.1MB   72
8fef7395547f   secondary2   1.79%     84.74MiB / 7.73GiB   1.07%     3.93MB / 1.6MB    0B / 25.2MB   72
220160fff8e1   primary      2.25%     105.2MiB / 7.73GiB   1.33%     21.1MB / 14.3MB   0B / 22.4MB   77
5a054c53aef7   secondary3   1.86%     84.92MiB / 7.73GiB   1.07%     3.87MB / 1.56MB   0B / 24.9MB   73
Loading workload 500 _1_0 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.90%     84.3MiB / 7.73GiB    1.06%     4.01MB / 1.64MB   0B / 27.8MB   72
8fef7395547f   secondary2   0.82%     85.18MiB / 7.73GiB   1.08%     3.99MB / 1.66MB   0B / 27.8MB   72
220160fff8e1   primary      0.81%     105.8MiB / 7.73GiB   1.34%     22.5MB / 14.4MB   0B / 22.5MB   77
5a054c53aef7   secondary3   0.79%     85.1MiB / 7.73GiB    1.08%     3.92MB / 1.63MB   0B / 27.6MB   72
Loading workload 500 _50_50 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.74%     84.3MiB / 7.73GiB    1.07%     4.06MB / 1.7MB    0B / 27.9MB   72
8fef7395547f   secondary2   0.68%     85.2MiB / 7.73GiB    1.08%     4.04MB / 1.73MB   0B / 27.9MB   72
220160fff8e1   primary      0.64%     106.7MiB / 7.73GiB   1.35%     23.9MB / 15.2MB   0B / 22.6MB   76
5a054c53aef7   secondary3   1.34%     85.1MiB / 7.73GiB    1.08%     3.98MB / 1.69MB   0B / 27.7MB   72
Loading workload 500 _10_90 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.96%     84.26MiB / 7.73GiB   1.06%     4.12MB / 1.77MB   0B / 30.3MB   71
8fef7395547f   secondary2   0.99%     85.31MiB / 7.73GiB   1.08%     4.1MB / 1.79MB    0B / 30.4MB   71
220160fff8e1   primary      0.55%     106.7MiB / 7.73GiB   1.35%     25.5MB / 15.6MB   0B / 25.7MB   76
5a054c53aef7   secondary3   0.94%     85.14MiB / 7.73GiB   1.08%     4.03MB / 1.76MB   0B / 30.1MB   72
Loading workload 1000 _1_0 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.58%     84.47MiB / 7.73GiB   1.07%     4.17MB / 1.83MB   0B / 30.4MB   71
8fef7395547f   secondary2   0.61%     85.23MiB / 7.73GiB   1.08%     4.15MB / 1.85MB   0B / 30.5MB   71
220160fff8e1   primary      0.65%     107MiB / 7.73GiB     1.35%     27.4MB / 15.8MB   0B / 25.9MB   77
5a054c53aef7   secondary3   0.70%     85.18MiB / 7.73GiB   1.08%     4.09MB / 1.82MB   0B / 30.2MB   72
Loading workload 1000 _50_50 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.82%     84.46MiB / 7.73GiB   1.07%     4.22MB / 1.89MB   0B / 30.5MB   70
8fef7395547f   secondary2   0.68%     85.49MiB / 7.73GiB   1.08%     4.21MB / 1.92MB   0B / 30.6MB   71
220160fff8e1   primary      0.74%     106.9MiB / 7.73GiB   1.35%     28.9MB / 17.2MB   0B / 28.7MB   77
5a054c53aef7   secondary3   0.77%     85.19MiB / 7.73GiB   1.08%     4.14MB / 1.88MB   0B / 30.3MB   72
Loading workload 1000 _10_90 try 2
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.47%     84.74MiB / 7.73GiB   1.07%     4.28MB / 1.96MB   0B / 33.4MB   71
8fef7395547f   secondary2   0.55%     85.86MiB / 7.73GiB   1.08%     4.27MB / 1.98MB   0B / 33.5MB   72
220160fff8e1   primary      0.56%     106.8MiB / 7.73GiB   1.35%     30.9MB / 18MB     0B / 28.9MB   76
5a054c53aef7   secondary3   0.50%     85.4MiB / 7.73GiB    1.08%     4.19MB / 1.95MB   0B / 33.2MB   72
Loading workload 100 _1_0 try 3
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   1.79%     85.02MiB / 7.73GiB   1.07%     4.36MB / 2.03MB   0B / 33.6MB   73
8fef7395547f   secondary2   1.82%     85.9MiB / 7.73GiB    1.09%     4.35MB / 2.06MB   0B / 33.6MB   72
220160fff8e1   primary      1.91%     107.1MiB / 7.73GiB   1.35%     33.4MB / 18.3MB   0B / 31.6MB   81
5a054c53aef7   secondary3   0.72%     85.59MiB / 7.73GiB   1.08%     4.27MB / 2.02MB   0B / 33.3MB   74
Loading workload 100 _50_50 try 3
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.75%     85.04MiB / 7.73GiB   1.07%     4.41MB / 2.09MB   0B / 38.6MB   72
8fef7395547f   secondary2   0.72%     85.88MiB / 7.73GiB   1.08%     4.41MB / 2.12MB   0B / 38.7MB   71
220160fff8e1   primary      0.78%     107.3MiB / 7.73GiB   1.36%     34.7MB / 18.5MB   0B / 31.7MB   81
5a054c53aef7   secondary3   0.64%     85.64MiB / 7.73GiB   1.08%     4.32MB / 2.08MB   0B / 38.4MB   72
Loading workload 100 _10_90 try 3
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.71%     85MiB / 7.73GiB      1.07%     4.47MB / 2.16MB   0B / 38.7MB   71
8fef7395547f   secondary2   0.62%     85.91MiB / 7.73GiB   1.09%     4.46MB / 2.19MB   0B / 38.8MB   72
220160fff8e1   primary      0.77%     109.3MiB / 7.73GiB   1.38%     36.1MB / 18.7MB   0B / 31.8MB   82
5a054c53aef7   secondary3   0.57%     85.47MiB / 7.73GiB   1.08%     4.38MB / 2.15MB   0B / 38.5MB   71
Loading workload 500 _1_0 try 3
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.67%     85.04MiB / 7.73GiB   1.07%     4.52MB / 2.22MB   0B / 41.3MB   71
8fef7395547f   secondary2   0.58%     85.96MiB / 7.73GiB   1.09%     4.52MB / 2.25MB   0B / 41.3MB   72
220160fff8e1   primary      0.76%     109.6MiB / 7.73GiB   1.38%     37.6MB / 18.8MB   0B / 34.4MB   82
5a054c53aef7   secondary3   0.57%     85.47MiB / 7.73GiB   1.08%     4.43MB / 2.21MB   0B / 41MB     71
Loading workload 500 _50_50 try 3
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.65%     85.07MiB / 7.73GiB   1.07%     4.57MB / 2.28MB   0B / 41.4MB   72
8fef7395547f   secondary2   0.55%     85.96MiB / 7.73GiB   1.09%     4.57MB / 2.32MB   0B / 41.5MB   72
220160fff8e1   primary      0.66%     109.7MiB / 7.73GiB   1.39%     38.9MB / 19.6MB   0B / 34.5MB   82
5a054c53aef7   secondary3   0.58%     85.46MiB / 7.73GiB   1.08%     4.49MB / 2.27MB   0B / 41.2MB   71
Loading workload 500 _10_90 try 3
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.68%     85.08MiB / 7.73GiB   1.07%     4.62MB / 2.34MB   0B / 41.5MB   72
8fef7395547f   secondary2   0.69%     86MiB / 7.73GiB      1.09%     4.62MB / 2.38MB   0B / 41.6MB   71
220160fff8e1   primary      0.63%     110MiB / 7.73GiB     1.39%     40.6MB / 20MB     0B / 37.3MB   82
5a054c53aef7   secondary3   0.58%     85.46MiB / 7.73GiB   1.08%     4.54MB / 2.33MB   0B / 41.3MB   71
Loading workload 1000 _1_0 try 3
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.58%     85.2MiB / 7.73GiB    1.08%     4.68MB / 2.41MB   0B / 44MB     72
8fef7395547f   secondary2   0.59%     86.02MiB / 7.73GiB   1.09%     4.68MB / 2.44MB   0B / 44.1MB   71
220160fff8e1   primary      0.69%     110.1MiB / 7.73GiB   1.39%     42.5MB / 20.2MB   0B / 37.3MB   81
5a054c53aef7   secondary3   0.82%     85.46MiB / 7.73GiB   1.08%     4.59MB / 2.4MB    0B / 43.8MB   71
