100,1_0, 381, 262.4671916010499, 2000.4, 277, 153087,,,
100,50_50, 642, 155.76323987538942, 7713.722222222223, 482, 167679, 659.5652173913044, 101, 3337
100,10_90, 512, 195.3125, 5365.615384615385, 538, 18511, 2528.1264367816093, 69, 193023
500,1_0, 558, 896.0573476702509, 716.78, 211, 181631,,,
500,50_50, 1228, 407.1661237785016, 3752.285123966942, 211, 181119, 417.74418604651163, 35, 6987
500,10_90, 844, 592.4170616113744, 6475.448979591837, 264, 62847, 802.2549889135255, 30, 217343
1000,1_0, 612, 1633.986928104575, 426.322, 190, 164095,,,
1000,50_50, 772, 1295.3367875647668, 694.5236363636363, 185, 198143, 440.29333333333335, 49, 6351
1000,10_90, 1644, 608.272506082725, 10756.255102040815, 267, 135935, 395.340354767184, 13, 187903
100,1_0, 478, 209.20502092050208, 2843.65, 346, 222975,,,
100,50_50, 467, 214.13276231263384, 4730.306122448979, 295, 199423, 496.98039215686276, 103, 2433
100,10_90, 440, 227.27272727272728, 1532.142857142857, 513, 6891, 2593.1612903225805, 141, 198271
500,1_0, 635, 787.4015748031496, 862.866, 232, 183423,,,
500,50_50, 826, 605.3268765133172, 1727.7727272727273, 267, 255999, 681.4263565891473, 72, 6031
500,10_90, 565, 884.9557522123894, 1991.1568627450981, 371, 8863, 673.619153674833, 83, 144255
1000,1_0, 996, 1004.0160642570281, 787.948, 194, 278527,,,
1000,50_50, 1053, 949.667616334283, 1280.3876739562625, 256, 240511, 327.579476861167, 55, 7651
1000,10_90, 761, 1314.060446780552, 2589.3636363636365, 300, 14887, 343.922149122807, 16, 140031
100,1_0, 395, 253.16455696202533, 2226.52, 287, 172543,,,
100,50_50, 351, 284.9002849002849, 884.530612244898, 310, 10687, 2891.3529411764707, 103, 128767
100,10_90, 397, 251.88916876574308, 1633.6, 338, 5743, 2549.233333333333, 98, 178175
500,1_0, 500, 1000.0, 702.624, 203, 127743,,,
500,50_50, 499, 1002.0040080160321, 320.28793774319064, 177, 6115, 903.4691358024692, 102, 155135
500,10_90, 532, 939.8496240601504, 1574.6, 285, 7807, 616.323595505618, 62, 150655
1000,1_0, 755, 1324.5033112582782, 575.674, 152, 173311,,,
1000,50_50, 842, 1187.648456057007, 962.6225680933852, 171, 130175, 284.18930041152265, 45, 9399
1000,10_90, 653, 1531.3935681470139, 1162.784946236559, 239, 10999, 411.20066152149946, 16, 128639
100,1_0, 371, 269.54177897574124, 2037.5, 224, 172799,,,
100,50_50, 558, 179.21146953405017, 3905.32, 355, 17167, 3808.82, 105, 163839
100,10_90, 422, 236.96682464454977, 6564.5, 459, 15639, 2490.0106382978724, 80, 199167
500,1_0, 522, 957.8544061302682, 686.584, 231, 147967,,,
500,50_50, 919, 544.069640914037, 2006.0977443609022, 227, 23983, 1121.4700854700855, 27, 190079
500,10_90, 837, 597.3715651135007, 7924.094339622641, 317, 83839, 515.5525727069352, 33, 129983
1000,1_0, 638, 1567.398119122257, 490.933, 150, 152703,,,
1000,50_50, 729, 1371.7421124828531, 795.5443548387096, 152, 172927, 342.9047619047619, 18, 8003
1000,10_90, 1108, 902.5270758122743, 5981.775510204082, 298, 94079, 339.2660753880266, 11, 165503
100,1_0, 344, 290.69767441860466, 2308.56, 278, 174719,,,
100,50_50, 337, 296.7359050445104, 605.047619047619, 267, 6891, 2699.4827586206898, 107, 140287
100,10_90, 358, 279.3296089385475, 1849.6666666666667, 493, 5403, 2387.912087912088, 127, 189695
500,1_0, 512, 976.5625, 716.5, 194, 183935,,,
500,50_50, 516, 968.9922480620155, 1226.65991902834, 253, 138111, 209.6324110671937, 84, 1004
500,10_90, 575, 869.5652173913044, 1459.0588235294117, 283, 11535, 699.075723830735, 39, 153215
1000,1_0, 705, 1418.4397163120568, 502.417, 135, 146431,,,
1000,50_50, 665, 1503.7593984962407, 450.6025641025641, 153, 9759, 556.0883458646616, 71, 142335
1000,10_90, 823, 1215.0668286755772, 2206.4159292035397, 267, 14143, 390.0428410372041, 11, 156031
100,1_0, 357, 280.1120448179272, 1802.05, 224, 139903,,,
100,50_50, 391, 255.7544757033248, 987.4583333333334, 230, 6259, 3697.9615384615386, 105, 164607
