500,1_0,secondary2,0.97,85.96,1.09,4648.96,2334.72
500,1_0,primary,0.60,109.6,1.38,38604.8,19968.0
500,1_0,secondary3,0.90,85.4, 1.08,4567.04,2293.76
500,50_50,secondary1,0.70,85.08,1.07,4710.4,2365.44
500,50_50,secondary2,0.65,85.96,1.09,4710.4,2396.16
500,50_50,primary,0.58,109.9,1.39,40243.2,20480.0
500,50_50,secondary3,0.59,85.46,1.08,4618.24,2355.2
500,10_90,secondary1,0.86,85.2, 1.08,4761.6,2437.12
500,10_90,secondary2,0.62,86.02,1.09,4761.6,2457.6
500,10_90,primary,0.78,110,  1.39,42188.8,20684.8
500,10_90,secondary3,0.95,85.45,1.08,4669.44,2426.88
1000,1_0,secondary1,0.64,85.2, 1.08,4812.8,2498.56
1000,1_0,secondary2,0.69,86.02,1.09,4823.04,2529.28
1000,1_0,primary,0.64,108.9,1.38,43622.4,22016.0
1000,1_0,secondary3,0.54,85.46,1.08,4730.88,2488.32
1000,50_50,secondary1,0.88,85.18,1.08,4874.24,2560.0
1000,50_50,secondary2,0.99,86.02,1.09,4874.24,2590.72
1000,50_50,primary,0.78,110.5,1.40,45670.4,22835.2
1000,50_50,secondary3,0.58,85.26,1.08,4771.84,2549.76
1000,10_90,secondary1,0.64,85.18,1.08,4925.44,2631.68
1000,10_90,secondary2,0.77,86.02,1.09,4935.68,2662.4
1000,10_90,primary,0.72,110.6,1.40,48230.4,23142.4
1000,10_90,secondary3,0.72,85.53,1.08,4833.28,2611.2
100,1_0,secondary1,0.81,85.09,1.07,1945.6,590.0
100,1_0,secondary2,0.54,77.4, 0.98,1863.68,585.0
100,1_0,secondary3,0.68,78.04,0.99,1955.84,585.0
100,1_0,primary,0.65,77.64,0.98,2467.84,5355.52
100,50_50,secondary1,0.54,84.86,1.07,2088.96,673.0
100,50_50,secondary2,0.61,77.34,0.98,2017.28,671.0
100,50_50,secondary3,0.59,77.95,0.98,2109.44,670.0
100,50_50,primary,0.82,78.95,1.00,3973.12,5847.04
100,10_90,secondary1,0.59,85.12,1.08,2201.6,736.0
100,10_90,secondary2,0.55,77.64,0.98,2129.92,736.0
100,10_90,secondary3,0.77,78.12,0.99,2222.08,734.0
100,10_90,primary,0.53,81.2, 1.03,5437.44,6154.24
500,1_0,secondary1,0.74,85.65,1.08,2242.56,791.0
500,1_0,secondary2,0.59,78.3, 0.99,2170.88,790.0
500,1_0,secondary3,0.69,78.47,0.99,2263.04,789.0
500,1_0,primary,0.53,82.64,1.04,6860.8,6912.0
500,50_50,secondary1,0.69,85.89,1.09,2580.48,939.0
500,50_50,secondary2,1.35,78.83,1.00,2519.04,938.0
500,50_50,secondary3,0.56,79.13,1.00,2621.44,953.0
500,50_50,primary,1.09,84.66,1.07,8837.12,8294.4
500,10_90,secondary1,0.76,87.34,1.10,2990.08,1085.44
500,10_90,secondary2,0.68,79.66,1.01,2938.88,1095.68
500,10_90,secondary3,0.69,80.2, 1.01,3041.28,1105.92
500,10_90,primary,0.58,87.65,1.11,10956.8,9574.4
1000,1_0,secondary1,0.64,87.62,1.11,3020.8,1136.64
1000,1_0,secondary2,0.66,80.09,1.01,2979.84,1146.88
1000,1_0,secondary3,0.57,80.43,1.02,3072.0,1157.12
1000,1_0,primary,0.58,89.14,1.13,12390.4,10956.8
1000,50_50,secondary1,0.51,89.67,1.13,3174.4,1218.56
1000,50_50,secondary2,0.60,81.99,1.04,3112.96,1218.56
1000,50_50,secondary3,0.56,82.15,1.04,3215.36,1239.04
1000,50_50,primary,1.64,92.56,1.17,14540.8,11980.8
1000,10_90,secondary1,0.62,90.99,1.15,3829.76,1372.16
1000,10_90,secondary2,0.52,83.62,1.06,3747.84,1361.92
1000,10_90,secondary3,0.60,83.37,1.05,3860.48,1392.64
1000,10_90,primary,0.61,96.66,1.22,17305.6,14028.8
100,1_0,secondary1,0.53,92.95,1.17,3880.96,1433.6
100,1_0,secondary2,1.17,83.71,1.06,3799.04,1413.12
100,1_0,secondary3,0.72,83.4, 1.05,3911.68,1454.08
100,1_0,primary,0.65,98.21,1.24,18636.8,14233.6
100,50_50,secondary1,0.52,93.23,1.18,3921.92,1484.8
100,50_50,secondary2,0.61,83.68,1.06,3840.0,1474.56
100,50_50,secondary3,0.61,83.57,1.06,3952.64,1505.28
100,50_50,primary,1.39,100.1,1.26,20070.4,14438.4
100,10_90,secondary1,0.53,93.46,1.18,3973.12,1546.24
100,10_90,secondary2,0.42,84.23,1.06,3891.2,1525.76
100,10_90,secondary3,0.62,84.2, 1.06,4003.84,1566.72
100,10_90,primary,0.76,101.4,1.28,21504.0,14540.8
500,1_0,secondary1,0.46,93.52,1.18,4014.08,1607.68
500,1_0,secondary2,0.55,84.19,1.06,3932.16,1587.2
500,1_0,secondary3,0.61,84.21,1.06,4055.04,1617.92
500,1_0,primary,0.80,102.9,1.30,22937.6,15257.6
500,50_50,secondary1,0.87,93.63,1.18,4065.28,1669.12
500,50_50,secondary2,0.86,84.59,1.07,3983.36,1648.64
